id,好き嫌い,心地よい不快,感じの良い悪い,なめらかしどろもどろ,流暢たどたどしい,話慣れた慣れていない,声大きい小さい,元気のあるない,力強い弱々しい,速い遅い,せわしげな呑気な,スピード感あるゆったりした,礼儀正しい無礼,真面目不真面目,丁寧ぞんざい
2017$WAV_1096_002$LM,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
2017$WAV_1096_002$RM,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0
2017$WAV_1097_002$LF,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1097_002$RM,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2017$WAV_1098_002$LM,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
2017$WAV_1098_002$RM,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
2017$WAV_1099_002$LM,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1099_002$RM,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
2017$WAV_1100_002$LF,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1100_002$RM,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
2018$FKMMOKN$LM,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
2018$FKMMOKN$RF,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
2018$FKRFHAN$LF,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
2018$FKRFHAN$LF,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
2018$FMAFHAN$LF,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
2018$FMAFHAN$RF,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2018$FMRFMAN$LF,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
2018$FMRFMAN$LF,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
2018$MSKFHAN$LF,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
2018$MSKFHAN$RM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018$MUTMTKN$LM,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
2018$MUTMTKN$RM,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
2018$MWKMTKN$LM,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
2018$MWKMTKN$RM,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
2019$WAV_1159_002$LM,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1
2019$WAV_1159_002$RM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019$WAV_1160_002$LM,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
2019$WAV_1160_002$RF,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
2019$WAV_1161_002$LM,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
2019$WAV_1161_002$RF,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1
2019$WAV_1162_002$LM,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
2019$WAV_1162_002$RM,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2019$WAV_1163_002$LM,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2019$WAV_1163_002$RM,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
2019$WAV_1164_002$LF,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
2019$WAV_1164_002$RM,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
2019$WAV_1165_002$LM,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
2019$WAV_1165_002$RM,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1
2019$WAV_1166_002$LF,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2019$WAV_1166_002$RF,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1
2019$WAV_1167_002$LM,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
2019$WAV_1167_002$RF,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
2019$WAV_1168_002$LM,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
2019$WAV_1168_002$RF,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
2019$WAV_1169_002$LM,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2019$WAV_1169_002$RF,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2019$WAV_1170_002$LF,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1
2019$WAV_1170_002$RM,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
2020$WAV_1304_002$LF,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
2020$WAV_1304_002$RM,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2020$WAV_1305_002$LF,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2020$WAV_1305_002$RM,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2020$WAV_1306_002$LM,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2020$WAV_1306_002$RM,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
2020$WAV_1307_002$LF,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2020$WAV_1307_002$LM,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2020$WAV_1308_002$LF,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2020$WAV_1308_002$RM,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
2020$WAV_1309_002$LM,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0
2020$WAV_1309_002$RM,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2021$WAV_1345_001$LF,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
2021$WAV_1345_001$RM,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
2021$WAV_1346_002$LM,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2021$WAV_1346_002$RF,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1
2021$WAV_1347_002$LM,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2021$WAV_1347_002$RM,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1
2021$WAV_1348_002$LF,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
2021$WAV_1348_002$RM,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1
2021$WAV_1349_002$LF,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2021$WAV_1349_002$RF,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2021$WAV_1350_002$LM,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
2021$WAV_1350_002$RF,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
2021$WAV_1351_002$LM,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2021$WAV_1351_002$RF,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
2021$WAV_1352_002$LF,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0
2021$WAV_1352_002$RM,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2021$WAV_1353_002$LF,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1
2021$WAV_1353_002$RM,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
2021$WAV_1354_002$LF,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0
2021$WAV_1354_002$RM,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
2021$WAV_1355_002$LM,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2021$WAV_1355_002$RM,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
2021$WAV_1356_002$LF,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
2021$WAV_1356_002$RM,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1
